Parameter,Symbol,Unit,PproA (liquid),WT (liquid),PproB (liquid),PproA (agarose),WT (agarose),PproB (agarose),Source,Note
motile_fraction,f_motile,-,0.635,0.801,0.86,0.42,0.732,0.748,Measured,"Per-strain, per-medium fraction of swimming cells (this study)."
run_speed_um_s,v,um s^-1,19.9,27.6,32,15.4,23.2,28.6,Measured,"Per-strain, per-medium mean run speed (this study)."
rotational_diffusion_rad2_s,D_theta,rad^2 s^-1,6.15,4.3,4.23,8.56,5.86,5.16,Fitted,"Effective heading-decorrelation rate during runs. Not the rotational diffusion of the cell body, which is 0.057 rad^2 s^-1 for swimming E. coli (Drescher et al., 2011)."
reorientation_rate_s,lambda,s^-1,6.21,6.62,5.09,13.2,7.81,6.82,Fitted,Scaled with D_theta by one factor so the model persistence time equals the measured one; the delivered ratio is kept.
turn_angle_sd_rad,sigma,rad,1.25,1.25,1.25,1.25,1.25,1.25,Literature,"One global value for all six rows. Set so the mean turn magnitude sigma * sqrt(2 / pi) equals the 57 deg mean turn angle of Taute et al., 2015 (n = 8058 turns, E. coli AW405; doi:10.1038/ncomms9776, PMID 26522289). Taute et al. tracked in three dimensions; this simulator is two-dimensional, so only the mean magnitude is matched, not the forward-skewed shape of the measured distribution."
passive_diffusion_um2_s,D_t,um^2 s^-1,0.35,0.35,0.35,0.35,0.35,0.35,Nominal,Nominal value of the published code. Agrees within 3 % with the Stokes-Einstein value for a 2.0 x 0.8 um cell at 20 degC.
stall_probability,p_stall,-,0,0,0,0.21,0.177,0.123,Literature-scaled,"Per-contact-event probability: the chance that one encounter with one obstacle ends in a stall rather than a tangential slide. It is drawn once, on the step where the cell first overlaps a disk it was not already touching, so the value is a property of the model and not of the time step. This is the same quantity Grognot et al. measured, a stall frequency per contact. No primary measurement gives its absolute value. Its ratio between strains is anchored: it falls with the mean hook number per cell as N^-0.704 (PproA 2.085, WT 2.666, PproB 4.432), normalised so the mean over the three strains is unchanged. The exponent sets the ratio between the least and the most flagellated strain to the 1.7 +/- 0.2 stall-frequency ratio measured in 0.25 % agar by Grognot et al., 2023 (doi:10.1073/pnas.2301873120, PMID 37579142). That study varied a second flagellar system in Vibrio alginolyticus, not the flagella count, so the mapping onto our hook numbers is an assumption. Zero in liquid."
stall_mean_duration_s,t_stall,s,0.05,0.05,0.05,0.949,0.949,0.949,Nominal,"One global value for the three agarose rows. Grognot et al., 2023 found the flagella effect on stall duration significant only at 0.16 % agar, not at the 0.25 % that matches our condition, so a per-strain duration is not supported and one value is what the evidence carries. The absolute value has no source. Reported trapping times in gels span 0.4 to 40 s (Bhattacharjee and Datta, 2019) and average 2.1 to 3.6 s (Datta et al., 2025), so this value sits below the published means. Those distributions are power-law; the model draws an exponential. The liquid rows keep the nominal 0.05 s of the published code, which never fires because their stall probability is zero."
run_translational_scale,c_run,-,0.12,0.12,0.12,0.12,0.12,0.12,Nominal,"Global model constant, one value for all six rows. It multiplies the passive diffusion coefficient D_t to set the translational noise of a cell that is running. It has no source: it is a default of the published code and no measurement in this study or in the literature sets it."
stall_translational_scale,c_stall,-,0.2,0.2,0.2,0.2,0.2,0.2,Nominal,"Global model constant, one value for all six rows. It multiplies D_t to set the translational noise of a cell that is stalled against an obstacle. It has no source. Until this revision it was written as a bare number inside the integration loop, so it appeared in no config file and no table; it now carries the config key noise.stall_translational_scale."
stall_slide_fraction,c_slide,-,0.28,0.28,0.28,0.28,0.28,0.28,Nominal,"Global model constant, one value for all six rows. When a cell meets an obstacle and does not stall, it keeps this fraction of the tangential part of its step and slides along the surface. It has no source."
stall_rotational_diffusion_scale,c_rot,-,1.8,1.8,1.8,1.8,1.8,1.8,Nominal,"Global model constant, one value for all six rows. It multiplies the rotational diffusion rate D_theta while a cell is stalled, so a stalled cell reorients faster than a running one. It has no source."
